sample_id,relative_path,split,x_start,x_end,y_start,y_end,z_start,z_end,susceptibility_si,susceptibility_log10,tmi_min_nt,tmi_max_nt,peak_absolute_tmi_nt
sample_000025,samples/sample_000025.npz,train,20,31,17,26,5,9,0.0003110057596449322,-3.5072315680186623,-0.09911582243190817,1.033376057568963,1.033376057568963
sample_000026,samples/sample_000026.npz,train,38,51,33,41,7,9,0.0010517945820810771,-2.978069070619302,-0.12562412417505148,1.3041765291798002,1.3041765291798002
sample_000027,samples/sample_000027.npz,train,19,35,11,27,15,17,0.014821997233508516,-1.8290932721293047,-0.6638638595188701,8.011507251197997,8.011507251197997
sample_000028,samples/sample_000028.npz,train,24,37,41,49,10,18,0.00046977110615501914,-3.328113698548902,-0.057145533029453945,0.767122222904556,0.767122222904556
sample_000029,samples/sample_000029.npz,train,26,33,21,30,5,8,0.02466167736925338,-1.6079773881037625,-4.582688415733909,54.06217417418187,54.06217417418187
sample_000030,samples/sample_000030.npz,train,45,51,24,39,15,22,0.00029024465691804014,-3.5372357663951424,-0.011681062390623604,0.16762477531943296,0.16762477531943296
sample_000031,samples/sample_000031.npz,train,12,21,32,39,7,9,0.00011882906475425999,-3.9250773209831094,-0.009148890226903912,0.11128978659364194,0.11128978659364194
sample_000032,samples/sample_000032.npz,train,35,46,18,34,9,14,0.04186715757258865,-1.3781265230457986,-7.705989188042697,90.65044543697465,90.65044543697465
sample_000033,samples/sample_000033.npz,train,29,38,24,34,4,9,0.00542373551924544,-2.2657014963778632,-2.378426532009079,25.413137561709704,25.413137561709704
sample_000034,samples/sample_000034.npz,train,28,36,18,32,9,17,0.0011158491320323628,-2.9523945200534767,-0.16857630441383992,2.297184309471307,2.297184309471307
sample_000035,samples/sample_000035.npz,train,35,50,42,55,7,11,0.015542182593965446,-1.8084879931312332,-4.650150794688013,45.12917772571444,45.12917772571444
sample_000036,samples/sample_000036.npz,train,38,54,36,47,10,15,0.00036950445976016965,-3.4323803154896053,-0.058527532552319836,0.6738157278325964,0.6738157278325964
sample_000037,samples/sample_000037.npz,train,30,38,25,33,16,19,0.0114521779554434,-1.9411119120941498,-0.16931936593775915,2.4243670003860354,2.4243670003860354
sample_000038,samples/sample_000038.npz,train,23,35,25,35,8,10,0.007076321619201074,-2.1501924366060003,-0.7073030169885347,7.871901022275751,7.871901022275751
sample_000039,samples/sample_000039.npz,train,36,40,26,34,6,10,0.005425510435305303,-2.2655593968696124,-0.44348450402648987,6.144986975451404,6.144986975451404
sample_000040,samples/sample_000040.npz,train,29,40,30,46,9,12,0.00496525275810757,-2.3040586386776942,-0.6679189740290776,7.531130407938446,7.531130407938446
sample_000041,samples/sample_000041.npz,train,24,39,23,27,3,8,0.00010694599865640228,-3.9708354597502664,-0.05205033710654927,0.434767293080474,0.434767293080474
sample_000042,samples/sample_000042.npz,train,24,30,37,46,2,7,0.0002568802348061012,-3.590269310466517,-0.171631573764002,1.7745679988987033,1.7745679988987033
sample_000043,samples/sample_000043.npz,train,29,36,27,42,5,8,0.05452003087298683,-1.2634439069099241,-13.65386676374421,141.69239389417388,141.69239389417388
sample_000044,samples/sample_000044.npz,train,24,31,19,33,13,20,0.019885134291227107,-1.701471471726431,-1.200704466974635,16.991865854787026,16.991865854787026
sample_000045,samples/sample_000045.npz,train,32,38,14,23,4,11,0.0027948648025245804,-2.5536391956264515,-0.8376607541008909,11.210586366659895,11.210586366659895
sample_000046,samples/sample_000046.npz,train,25,41,42,56,6,8,0.0015313162469635297,-2.814935109675318,-0.42621629959277446,3.313214881606664,3.313214881606664
sample_000047,samples/sample_000047.npz,train,13,18,47,56,6,8,0.02038124117650739,-1.6907693718656676,-1.5247586694650046,19.436506382709823,19.436506382709823
sample_000048,samples/sample_000048.npz,train,35,47,17,21,8,11,0.00033428248268698346,-3.4758863810254654,-0.019669975098162245,0.23732766859128152,0.23732766859128152
sample_000049,samples/sample_000049.npz,train,16,30,21,26,3,8,0.013787842559305612,-1.8605036843600562,-7.714296467263777,65.24766329095891,65.24766329095891
sample_000050,samples/sample_000050.npz,train,27,43,28,38,6,14,0.0003482979970993476,-3.458049022961236,-0.1526912453640576,1.6095429907179255,1.6095429907179255
sample_000051,samples/sample_000051.npz,train,20,25,38,51,3,9,0.06955283160556623,-1.1576851844981109,-31.38322206181166,356.77802893688323,356.77802893688323
sample_000052,samples/sample_000052.npz,train,14,20,18,30,14,16,0.018151675303766535,-1.7410832856909755,-0.2958738151000593,4.125427149136303,4.125427149136303
sample_000053,samples/sample_000053.npz,train,40,45,22,34,11,15,0.010092662415707852,-1.9959942529973467,-0.4060753748236923,5.65846247535104,5.65846247535104
sample_000054,samples/sample_000054.npz,train,14,23,10,23,16,19,0.002893276830174285,-2.5386100108507037,-0.07481934985992135,1.0331689611290873,1.0331689611290873
sample_000055,samples/sample_000055.npz,train,23,31,34,39,8,13,0.0010365693181341763,-2.984401650177392,-0.0676860531038374,0.9493683770519542,0.9493683770519542
sample_000056,samples/sample_000056.npz,train,16,28,45,49,5,9,0.0011828642928387071,-2.927065078070309,-0.20623358503547415,2.234292349013234,2.234292349013234
sample_000057,samples/sample_000057.npz,train,25,37,10,17,13,16,0.002228884152361605,-2.651912503658646,-0.072093490016531,0.9605441136254859,0.9605441136254859
sample_000058,samples/sample_000058.npz,train,14,22,41,49,7,11,0.0003411477074042492,-3.467057542939049,-0.040178338945637,0.5197312291775527,0.5197312291775527
sample_000059,samples/sample_000059.npz,train,44,53,31,40,3,11,0.05959495137808526,-1.224790530217975,-37.27018016684431,426.90287545442226,426.90287545442226
sample_000060,samples/sample_000060.npz,train,32,40,26,33,6,14,0.00042327667077257983,-3.373375667349142,-0.07356234148512887,1.0563779532985544,1.0563779532985544
sample_000061,samples/sample_000061.npz,train,16,30,46,53,8,13,0.00339429344692592,-2.469250614324881,-0.5073569918875085,5.95968436120387,5.95968436120387
sample_000062,samples/sample_000062.npz,train,9,22,27,42,2,7,0.0759263564427792,-1.1196074405641019,-118.94351382151726,676.7821948707821,676.7821948707821
sample_000063,samples/sample_000063.npz,train,34,45,10,21,8,13,0.0017608285321324085,-2.754282933172071,-0.3091289693896913,3.7616885438647607,3.7616885438647607
sample_000064,samples/sample_000064.npz,train,30,37,20,27,14,19,0.0003319358319033936,-3.478945863716838,-0.007519014163692666,0.10976947364446712,0.10976947364446712
sample_000065,samples/sample_000065.npz,train,39,45,24,28,4,6,0.0002785439884617265,-3.55510621004989,-0.02833408950137288,0.35043831365648626,0.35043831365648626
sample_000066,samples/sample_000066.npz,train,34,49,9,16,4,7,0.0006572014661272847,-3.1823014763838424,-0.2845015784988236,2.2093407496017,2.2093407496017
sample_000067,samples/sample_000067.npz,train,29,45,34,47,8,16,0.0032327652563381303,-2.4904258300554214,-1.0829393627973176,12.135572906703675,12.135572906703675
sample_000068,samples/sample_000068.npz,train,22,35,11,20,12,16,0.032333221976181506,-1.49035101618166,-2.096964341688823,27.001754525807627,27.001754525807627
sample_000069,samples/sample_000069.npz,train,35,49,36,48,8,13,0.0021729584091001613,-2.6629485860914213,-0.5069968903090483,5.632420065401593,5.632420065401593
sample_000070,samples/sample_000070.npz,train,41,50,40,47,2,4,0.00012683978070112485,-3.8967445175151294,-0.08021505127968487,0.5663661098106471,0.5663661098106471
sample_000071,samples/sample_000071.npz,train,44,54,36,52,6,11,0.06504836802745442,-1.1867635948066524,-22.338831495151684,235.61479329765092,235.61479329765092
sample_000072,samples/sample_000072.npz,train,24,39,42,54,10,17,0.043816978201833424,-1.3583575764677063,-8.24316074595225,100.42585503568293,100.42585503568293
sample_000073,samples/sample_000073.npz,train,40,46,8,15,7,13,0.07132048405598042,-1.1467857179065564,-6.696644861099882,97.23709475754795,97.23709475754795
sample_000074,samples/sample_000074.npz,train,16,26,36,49,15,21,0.00022457354602116103,-3.648641403433772,-0.012101777243202038,0.16875629292240274,0.16875629292240274
sample_000075,samples/sample_000075.npz,train,17,28,32,40,13,17,0.007575970270208146,-2.120561738269551,-0.31239908458358717,4.256457410758991,4.256457410758991
sample_000076,samples/sample_000076.npz,train,39,48,39,46,13,17,0.00034581621261519496,-3.4611546499161623,-0.010377801208399623,0.14574923503679263,0.14574923503679263
sample_000077,samples/sample_000077.npz,train,14,28,37,42,15,21,0.0021073054672891174,-2.6762725060898367,-0.0639233677988252,0.8822104697973943,0.8822104697973943
sample_000078,samples/sample_000078.npz,train,25,36,36,46,8,11,0.0003111301820934276,-3.507057856841083,-0.0381587136625106,0.4479927098437633,0.4479927098437633
sample_000079,samples/sample_000079.npz,train,11,19,8,12,3,6,0.0731221126768383,-1.135951269262217,-19.08150255196832,204.2852471172248,204.2852471172248
sample_000080,samples/sample_000080.npz,train,32,45,33,41,3,8,0.0011098162997414545,-2.95474890104304,-0.8448913903636116,6.879606528794418,6.879606528794418
sample_000081,samples/sample_000081.npz,train,33,41,12,27,2,5,0.0025378320462322917,-2.5955371229064474,-2.308271876812664,15.655653614056927,15.655653614056927
sample_000082,samples/sample_000082.npz,train,22,26,25,31,16,19,0.0012386747140712125,-2.9070427278705813,-0.007000707070237154,0.10377626347434912,0.10377626347434912
sample_000083,samples/sample_000083.npz,train,9,21,29,39,5,11,0.00012309705656935393,-3.909752331560727,-0.052440885550118,0.5563109743348252,0.5563109743348252
sample_000084,samples/sample_000084.npz,train,40,49,39,47,13,15,0.006163651030584841,-2.2101619578481038,-0.12517151861161105,1.7178550822876297,1.7178550822876297
sample_000085,samples/sample_000085.npz,train,11,15,35,43,8,14,0.09605122303322387,-1.0174971008366587,-5.275380352970249,78.22856282507875,78.22856282507875
sample_000086,samples/sample_000086.npz,train,41,45,10,17,7,14,0.06255399489762463,-1.2037449496541286,-4.128124241278663,63.4309640102077,63.4309640102077
sample_000087,samples/sample_000087.npz,train,14,30,25,34,2,4,0.022614303531531994,-1.645616782981965,-24.194032871334887,105.06572915212264,105.06572915212264
sample_000088,samples/sample_000088.npz,train,11,27,19,35,2,7,0.0331225643636858,-1.4798760473133026,-61.607470683988346,295.3114281815449,295.3114281815449
sample_000089,samples/sample_000089.npz,train,25,40,10,17,5,7,0.00029961371479168223,-3.5234383107255005,-0.0701218220285922,0.5794014345347606,0.5794014345347606
sample_000090,samples/sample_000090.npz,train,31,35,39,44,13,15,0.0003275472741620708,-3.4847260104017774,-0.0019211537651987725,0.02824299953181747,0.02824299953181747
sample_000091,samples/sample_000091.npz,train,31,37,40,54,15,20,0.0002677271091729842,-3.572307651345194,-0.00833481787234338,0.11815120866474155,0.11815120866474155
sample_000092,samples/sample_000092.npz,train,14,30,25,30,16,24,0.00037406706712428406,-3.42705052541788,-0.012924939986667609,0.17910635767191313,0.17910635767191313
sample_000093,samples/sample_000093.npz,train,46,51,39,47,3,5,0.011668813115578457,-1.9329733156400386,-2.756439509561073,30.0108432365964,30.0108432365964
sample_000094,samples/sample_000094.npz,train,18,28,35,43,6,11,0.00012197686563744997,-3.913722530626203,-0.026033803391147338,0.3140980757914207,0.3140980757914207
sample_000095,samples/sample_000095.npz,train,26,32,42,53,5,10,0.0007527274224170133,-3.123362262008171,-0.17297388141395856,2.148960171328217,2.148960171328217
sample_000096,samples/sample_000096.npz,train,45,54,30,44,6,13,0.0002524635848494753,-3.5978012553252805,-0.08194441968230014,0.9782526684988682,0.9782526684988682
sample_000097,samples/sample_000097.npz,train,17,22,27,38,13,16,0.00047983312935195014,-3.3189097701280166,-0.009989608207642872,0.14127612459948558,0.14127612459948558
sample_000098,samples/sample_000098.npz,train,16,30,31,41,13,20,0.002625621660087553,-2.5807678535602916,-0.23064624956884447,3.085213874963876,3.085213874963876
sample_000099,samples/sample_000099.npz,train,13,17,17,21,8,11,0.022921907147221858,-1.6397492510564318,-0.47167802355606087,6.904434134709114,6.904434134709114
sample_000100,samples/sample_000100.npz,train,13,17,29,42,3,8,0.03162432998413388,-1.499978666994811,-11.238910729000082,125.59917820503264,125.59917820503264
sample_000101,samples/sample_000101.npz,train,13,21,43,56,8,11,0.0010878158774742068,-2.9634446066266467,-0.12050883277693576,1.4625430044045764,1.4625430044045764
sample_000102,samples/sample_000102.npz,train,37,47,16,27,6,11,0.00244837135739599,-2.6111227097959633,-0.6654323797028168,7.670188904281072,7.670188904281072
sample_000103,samples/sample_000103.npz,train,39,53,23,30,10,14,0.09751341139770942,-1.010935649988964,-8.117693819127304,99.32570775697089,99.32570775697089
sample_000104,samples/sample_000104.npz,train,23,33,36,50,3,6,0.00021787754851188207,-3.661787519913279,-0.14950382978109236,1.092163783431271,1.092163783431271
sample_000105,samples/sample_000105.npz,train,18,31,29,42,5,8,0.00034629419612468954,-3.4605547871457265,-0.13894911755952427,1.1686830491983258,1.1686830491983258
sample_000106,samples/sample_000106.npz,train,29,40,25,32,14,16,0.0033773036848387095,-2.4714298861458017,-0.06094594005329403,0.8250446654893714,0.8250446654893714
sample_000107,samples/sample_000107.npz,train,46,53,41,55,13,16,0.00017052064121931212,-3.768223042917438,-0.006057302082423962,0.08187967551394457,0.08187967551394457
sample_000108,samples/sample_000108.npz,train,31,47,43,55,10,12,0.006966700107330589,-2.1569728839587103,-0.6353089184382388,6.786980901943618,6.786980901943618
sample_000109,samples/sample_000109.npz,train,28,38,27,34,6,11,0.0018344951142553146,-2.736483440547326,-0.3494304682997106,4.310679041845052,4.310679041845052
sample_000110,samples/sample_000110.npz,train,15,22,25,31,2,7,0.0009738229000258108,-3.011520016976499,-0.5811134916553848,6.330895948995708,6.330895948995708
sample_000111,samples/sample_000111.npz,train,33,37,23,31,8,16,0.011927386336566937,-1.9234547134097388,-0.7133095381108939,11.029981111562545,11.029981111562545
sample_000112,samples/sample_000112.npz,train,9,22,25,30,15,20,0.002333735431199328,-2.6319483802027963,-0.0590760732652036,0.8177184557905517,0.8177184557905517
sample_000113,samples/sample_000113.npz,train,45,55,20,30,9,13,0.0029858651895276686,-2.524929804369169,-0.3121608154552895,3.9805929864314304,3.9805929864314304
sample_000114,samples/sample_000114.npz,train,41,56,27,43,15,17,0.005912997584379697,-2.2281922984219635,-0.24939067847944357,3.0584788812300623,3.0584788812300623
sample_000115,samples/sample_000115.npz,train,40,52,40,54,7,9,0.010230301661026321,-1.9901115600524952,-1.6841391382782152,16.647199770782812,16.647199770782812
sample_000116,samples/sample_000116.npz,train,44,49,22,35,13,19,0.0012089296729923635,-2.9175989625963874,-0.04548150270827586,0.6521835456951351,0.6521835456951351
sample_000117,samples/sample_000117.npz,train,9,13,14,23,3,11,0.00023269795691943608,-3.6332074297880883,-0.06874443918634172,0.9896402115063789,0.9896402115063789
sample_000118,samples/sample_000118.npz,train,27,43,50,56,9,17,0.00040732516988484886,-3.3900587526825796,-0.05624640271629448,0.7015749885311385,0.7015749885311385
sample_000119,samples/sample_000119.npz,train,11,17,27,37,7,15,0.0013918448101550495,-2.8564091855951355,-0.19119582717395978,2.7761666325079144,2.7761666325079144
sample_000120,samples/sample_000120.npz,train,44,49,17,31,3,5,0.04339696509833603,-1.3625406411587409,-13.15026176704504,121.71983614413301,121.71983614413301
sample_000121,samples/sample_000121.npz,train,39,45,46,55,3,6,0.015377974374479554,-1.8131008671303435,-5.584746647371351,58.09505091306734,58.09505091306734
sample_000122,samples/sample_000122.npz,train,41,47,29,42,14,22,0.09844546764099096,-1.0068042736733318,-4.34936011925019,63.83625115274386,63.83625115274386
sample_000123,samples/sample_000123.npz,train,20,33,14,29,5,9,0.0009292217564507029,-3.031880630344175,-0.46559009070734064,3.963980244600196,3.963980244600196
sample_000124,samples/sample_000124.npz,train,45,55,35,46,2,10,0.013882635559311572,-1.85752807709375,-16.099537463751652,143.1307840873502,143.1307840873502
sample_000125,samples/sample_000125.npz,train,13,19,17,33,15,21,0.0007746447800869405,-3.1108974012531942,-0.030173443494238755,0.4255997865859637,0.4255997865859637
sample_000126,samples/sample_000126.npz,train,24,32,44,50,13,15,0.00018764964923581172,-3.726652243055289,-0.0025966750770824976,0.036568082413062517,0.036568082413062517
sample_000127,samples/sample_000127.npz,train,24,31,48,52,5,13,0.016799721038023484,-1.7746979297415733,-2.0730629403532976,31.934384075903957,31.934384075903957
sample_000128,samples/sample_000128.npz,train,29,35,39,55,4,11,0.000663139202057882,-3.1783952976283674,-0.2826188087415336,3.1886778216571257,3.1886778216571257
sample_000129,samples/sample_000129.npz,train,11,20,21,34,13,15,0.04132084073648745,-1.3838308506688093,-1.2835504340708668,16.94204015058977,16.94204015058977
sample_000130,samples/sample_000130.npz,train,23,31,11,23,9,16,0.001573347390033956,-2.803175375966776,-0.20127764472031215,2.76303414488801,2.76303414488801
sample_000131,samples/sample_000131.npz,train,18,22,26,35,6,14,0.00011259044406694853,-3.948498467966953,-0.012394236056795186,0.18837632105605032,0.18837632105605032
sample_000132,samples/sample_000132.npz,train,43,53,39,54,15,17,0.048709459535890266,-1.3123866891899363,-1.3285127850986442,17.56817040163761,17.56817040163761
sample_000133,samples/sample_000133.npz,train,34,42,22,33,10,18,0.01694564704720463,-1.7709418435474378,-1.7211063539336358,24.59868863019693,24.59868863019693
sample_000134,samples/sample_000134.npz,train,18,33,40,52,15,21,0.00019043182522852334,-3.7202604699949644,-0.014101213841106774,0.18610202913839374,0.18610202913839374
sample_000135,samples/sample_000135.npz,train,23,28,38,52,7,11,0.00010978332603522839,-3.9594636158128766,-0.012536097343201963,0.15775281968000907,0.15775281968000907
sample_000136,samples/sample_000136.npz,train,11,16,48,56,2,6,0.01441456626905171,-1.8411984208991798,-7.483912679479193,81.24826425766408,81.24826425766408
sample_000137,samples/sample_000137.npz,train,16,25,19,30,15,19,0.0059392908650579765,-2.226265405486332,-0.19179855142797636,2.683021476699479,2.683021476699479
sample_000138,samples/sample_000138.npz,train,24,36,24,35,5,9,0.0003337107247659763,-3.47662983580299,-0.1310372212754946,1.260554396334845,1.260554396334845
sample_000139,samples/sample_000139.npz,train,39,50,25,37,14,16,0.07312512539690334,-1.1359333761694352,-2.149883173432822,28.25763663562338,28.25763663562338
sample_000140,samples/sample_000140.npz,train,19,25,26,42,15,17,0.0027036849253419563,-2.5680439204072245,-0.047145086523130555,0.6417939790701596,0.6417939790701596
sample_000141,samples/sample_000141.npz,train,12,17,30,38,6,13,0.006998901215068892,-2.1549701362270106,-0.8505743097535802,12.593559466349921,12.593559466349921
sample_000142,samples/sample_000142.npz,train,34,47,20,35,5,8,0.0015401315727521555,-2.8124421759951073,-0.661842795473229,5.372563971076726,5.372563971076726
sample_000143,samples/sample_000143.npz,train,28,40,17,31,15,22,0.0007329579915648821,-3.1349209156104005,-0.05478293922774228,0.7501394363535827,0.7501394363535827
sample_000144,samples/sample_000144.npz,train,17,21,37,47,13,21,0.0015396257465631403,-2.8125848349788454,-0.04221980603121423,0.6400920030856954,0.6400920030856954
sample_000145,samples/sample_000145.npz,train,25,35,10,25,12,20,0.049328980288450786,-1.3068978620297744,-5.600688263998796,76.50433374608915,76.50433374608915
sample_000146,samples/sample_000146.npz,train,8,19,35,48,7,10,0.005610318538719214,-2.2510124799772293,-1.0792652282466082,11.55214695208267,11.55214695208267
sample_000147,samples/sample_000147.npz,train,16,29,27,40,9,11,0.014006105279865086,-1.8536826135090454,-1.4181728303507266,15.428841282841887,15.428841282841887
sample_000148,samples/sample_000148.npz,train,50,54,26,35,11,17,0.03040053608226259,-1.5171187579861236,-0.9569862323807662,14.200760119005738,14.200760119005738
sample_000149,samples/sample_000149.npz,train,25,40,18,25,2,4,0.0143072268609199,-1.8444445364506818,-12.9911115895354,64.13131135586184,64.13131135586184
sample_000150,samples/sample_000150.npz,train,31,40,22,30,9,12,0.0013726592082525563,-2.8624372721925493,-0.08998215351016535,1.1743261593649768,1.1743261593649768
sample_000151,samples/sample_000151.npz,train,10,14,26,34,9,12,0.00023272119705449959,-3.633164057862636,-0.006961253859353269,0.09867219797469076,0.09867219797469076
sample_000152,samples/sample_000152.npz,train,10,23,21,31,8,14,0.008477321967224833,-2.071741322100007,-1.7383031149043282,20.832283034943167,20.832283034943167
sample_000153,samples/sample_000153.npz,train,47,54,45,56,4,12,0.023973481994041753,-1.620268882905287,-9.626763679474337,122.73709490335415,122.73709490335415
sample_000154,samples/sample_000154.npz,train,8,20,39,49,13,15,0.0003653353667337383,-3.437308283348362,-0.011950160941480515,0.15470190350000546,0.15470190350000546
sample_000155,samples/sample_000155.npz,train,31,37,39,49,14,18,0.0003435915596236078,-3.4639575132165668,-0.008072781613625037,0.11611947928019516,0.11611947928019516
sample_000156,samples/sample_000156.npz,train,18,23,34,49,3,8,0.004854186157708737,-2.313883572520894,-2.253383415149778,23.385014300607413,23.385014300607413
sample_000157,samples/sample_000157.npz,train,19,24,45,54,10,15,0.0035210078585371576,-2.4533330056269147,-0.15532865131880044,2.2420953952195486,2.2420953952195486
sample_000158,samples/sample_000158.npz,train,38,48,20,30,3,5,0.0002338979085313964,-3.6309736615484125,-0.11341426254830322,0.8435689797395314,0.8435689797395314
sample_000159,samples/sample_000159.npz,train,36,52,36,41,8,14,0.0002830716515354994,-3.5481036212677464,-0.03758647025365237,0.435164337681212,0.435164337681212
sample_000160,samples/sample_000160.npz,train,46,55,9,20,11,19,0.012302902502135627,-1.9099924176698644,-1.1587402525282648,16.441233461980758,16.441233461980758
sample_000161,samples/sample_000161.npz,train,38,52,17,21,16,24,0.02585196124466053,-1.5875065038108955,-0.6310113732771304,8.975276128998187,8.975276128998187
sample_000162,samples/sample_000162.npz,train,39,48,9,14,13,20,0.0033070662917000296,-2.480557099361785,-0.09853944324224574,1.4470725859837272,1.4470725859837272
sample_000163,samples/sample_000163.npz,train,44,54,34,48,4,6,0.003608050477722243,-2.442727395175861,-1.3149369208088886,10.556757369747647,10.556757369747647
sample_000164,samples/sample_000164.npz,train,21,30,31,43,3,5,0.017070968979684728,-1.7677418268298126,-8.140768291514616,61.45830922613861,61.45830922613861
sample_000165,samples/sample_000165.npz,train,22,34,16,27,12,20,0.019898522108694163,-1.701179178056302,-2.0673469425023088,28.420403076119282,28.420403076119282
sample_000166,samples/sample_000166.npz,train,9,14,22,32,7,12,0.05138155956201256,-1.2891927179190867,-5.119808454395964,70.55040575841207,70.55040575841207
sample_000167,samples/sample_000167.npz,train,42,47,39,50,16,23,0.0006832655395323443,-3.165410482348211,-0.015048347060996567,0.22349786058722096,0.22349786058722096
sample_000168,samples/sample_000168.npz,train,25,35,33,44,16,21,0.0003780882454644093,-3.422406824381178,-0.01348210373996477,0.18981278891980174,0.18981278891980174
sample_000169,samples/sample_000169.npz,train,25,34,13,26,3,8,0.00613090949313588,-2.2124750950490486,-4.493877994665932,40.11971910668084,40.11971910668084
sample_000170,samples/sample_000170.npz,train,50,55,11,21,15,19,0.04049294752411374,-1.3926206093302018,-0.6721702956578071,9.755678132490573,9.755678132490573
sample_000171,samples/sample_000171.npz,train,41,50,14,18,6,8,0.004820996166587763,-2.316863213845855,-0.31478592929678306,3.7939512494677747,3.7939512494677747
sample_000172,samples/sample_000172.npz,train,40,49,35,43,12,14,0.0009376603379113663,-3.027954453822979,-0.023238544582786458,0.31507550029764053,0.31507550029764053
sample_000173,samples/sample_000173.npz,train,25,35,24,30,4,11,0.03169820477060869,-1.4989653333751813,-10.97692690249018,134.06620995179267,134.06620995179267
sample_000174,samples/sample_000174.npz,train,32,40,37,51,7,12,0.00622294884347219,-2.2060037691728587,-1.239022538063198,15.01852681128567,15.01852681128567
sample_000175,samples/sample_000175.npz,train,29,40,36,49,6,12,0.02318148114807349,-1.6348588188519377,-8.210118972538396,91.02119568476687,91.02119568476687
sample_000176,samples/sample_000176.npz,train,16,32,31,38,9,13,0.00499172161073519,-2.3017496433362203,-0.5877730503391305,6.604873330690995,6.604873330690995
