sample_id,relative_path,split,x_start,x_end,y_start,y_end,z_start,z_end,susceptibility_si,tmi_min_nt,tmi_max_nt
sample_000022,samples/sample_000022.npz,train,22,31,40,56,7,15,0.033245468121103586,-9.538726855879087,117.1931655372972
sample_000023,samples/sample_000023.npz,train,28,42,29,34,5,13,0.0041876201457651885,-1.1934192437031934,13.826551257045764
sample_000024,samples/sample_000024.npz,train,28,39,13,18,15,17,0.09269554254474115,-1.013518996806845,13.985727273553916
sample_000025,samples/sample_000025.npz,train,20,31,17,26,5,9,0.017261358255384152,-5.501099463107411,57.35415734844986
sample_000026,samples/sample_000026.npz,train,38,51,33,41,7,9,0.03472372066956304,-4.147327821240902,43.05580348357136
sample_000027,samples/sample_000027.npz,train,19,35,11,27,15,17,0.07263992201973295,-3.2534764249571846,39.262944648074075
sample_000028,samples/sample_000028.npz,train,24,37,41,49,10,18,0.023172247947886238,-2.8187993675860077,37.839591690745266
sample_000029,samples/sample_000029.npz,train,26,33,21,30,5,8,0.07993674619257583,-14.854025772948779,175.23358685435258
sample_000030,samples/sample_000030.npz,train,45,51,24,39,15,22,0.016271219708960307,-0.654844616700784,9.39710602279806
sample_000031,samples/sample_000031.npz,train,12,21,32,39,7,9,0.003472448407557399,-0.2673508304725103,3.2521339890409315
sample_000032,samples/sample_000032.npz,train,35,46,18,34,9,14,0.08752182473948865,-16.10909886207728,189.50156194113208
sample_000033,samples/sample_000033.npz,train,29,38,24,34,4,9,0.05823185061953052,-25.53593897349419,272.84775088371504
sample_000034,samples/sample_000034.npz,train,28,36,18,32,9,17,0.035570980838235275,-5.373866474182454,73.22951934798935
sample_000035,samples/sample_000035.npz,train,35,50,42,55,7,11,0.0733198962266693,-21.93698249623746,212.8958877999155
sample_000036,samples/sample_000036.npz,train,38,54,36,47,10,15,0.019731449588843018,-3.1253560038720956,35.981595988221436
sample_000037,samples/sample_000037.npz,train,30,38,25,33,16,19,0.06894330690089306,-1.0193202955005805,14.594942956163388
sample_000038,samples/sample_000038.npz,train,23,35,25,35,8,10,0.06204364959200199,-6.201478935981632,69.01911515042595
sample_000039,samples/sample_000039.npz,train,36,40,26,34,6,10,0.05823653990330279,-4.760289922047732,65.95928224046504
sample_000040,samples/sample_000040.npz,train,29,40,30,46,9,12,0.056966064923636095,-7.662996997458647,86.40423756099105
sample_000041,samples/sample_000041.npz,train,24,39,23,27,3,8,0.001962429828241212,-0.9551094676751234,7.977861065656702
sample_000042,samples/sample_000042.npz,train,24,30,37,46,2,7,0.01452111275460494,-9.702114004306148,100.31406609009231
sample_000043,samples/sample_000043.npz,train,29,36,27,42,5,8,0.0913063510719725,-22.86654579380018,237.29655999117224
sample_000044,samples/sample_000044.npz,train,24,31,19,33,13,20,0.07685144143302779,-4.640444991411791,65.66963059549707
sample_000045,samples/sample_000045.npz,train,32,38,14,23,4,11,0.0487299065443271,-14.605046710077941,195.46234765191147
sample_000046,samples/sample_000046.npz,train,25,41,42,56,6,8,0.04010714138071451,-11.163153452082598,86.77736205404821
sample_000047,samples/sample_000047.npz,train,13,18,47,56,6,8,0.07720461072843297,-5.7758204472760415,73.62592732675277
sample_000048,samples/sample_000048.npz,train,35,47,17,21,8,11,0.018295749426159646,-1.0765653448347952,12.989276402270692
sample_000049,samples/sample_000049.npz,train,16,30,21,26,3,8,0.07160337841611815,-40.06208427957202,338.84585547108105
sample_000050,samples/sample_000050.npz,train,27,43,28,38,6,14,0.01888438224227922,-8.278772823880868,87.2678766791964
sample_000051,samples/sample_000051.npz,train,20,25,38,51,3,9,0.09479638891156235,-42.7734727621915,486.2673205709457
sample_000052,samples/sample_000052.npz,train,14,20,18,30,14,16,0.07554425157219781,-1.2313776583247464,17.169342345401002
sample_000053,samples/sample_000053.npz,train,40,45,22,34,11,15,0.06713218965108755,-2.701044324637187,37.63773649622374
sample_000054,samples/sample_000054.npz,train,14,23,10,23,16,19,0.049225869641926774,-1.272967625503991,17.578215283282358
sample_000055,samples/sample_000055.npz,train,23,31,34,39,8,13,0.03451474554414607,-2.2537486393689523,31.611204818787808
sample_000056,samples/sample_000056.npz,train,16,28,45,49,5,9,0.03640685242367981,-6.347571439271493,68.76828669365236
sample_000057,samples/sample_000057.npz,train,25,37,10,17,13,16,0.045486887379264686,-1.4712779957255437,19.602705015068924
sample_000058,samples/sample_000058.npz,train,14,22,41,49,7,11,0.01858710108301139,-2.1890777397445302,28.317050786545536
sample_000059,samples/sample_000059.npz,train,44,53,31,40,3,11,0.09258191250280683,-57.89994759864696,663.2018951309408
sample_000060,samples/sample_000060.npz,train,32,40,26,33,6,14,0.021678602977478322,-3.767579978738041,54.10361261587199
sample_000061,samples/sample_000061.npz,train,16,30,46,53,8,13,0.05151472972727893,-7.700088224598782,90.44932090382271
sample_000062,samples/sample_000062.npz,train,9,22,27,42,2,7,0.09605295446138463,-150.47311943085785,856.183954597839
sample_000063,samples/sample_000063.npz,train,34,45,10,21,8,13,0.04210866320532166,-7.392546810097953,89.95746565076469
sample_000064,samples/sample_000064.npz,train,30,37,20,27,14,19,0.018194786497344354,-0.4121485347878385,6.016922796269995
sample_000065,samples/sample_000065.npz,train,39,45,24,28,4,6,0.015681495068353642,-1.5951551869394613,19.729008539497144
sample_000066,samples/sample_000066.npz,train,34,49,9,16,4,7,0.027984051279333205,-12.114256060423694,94.07511798924543
sample_000067,samples/sample_000067.npz,train,29,45,34,47,8,16,0.050815947608171104,-17.022760852801813,190.75948524850264
sample_000068,samples/sample_000068.npz,train,22,35,11,20,12,16,0.08381841646600523,-5.436025762651307,69.99748651942429
sample_000069,samples/sample_000069.npz,train,35,49,36,48,8,13,0.04512269665898311,-10.528074623416417,116.96035990049077
sample_000070,samples/sample_000070.npz,train,41,50,40,47,2,4,0.004407430922000733,-2.787314170725093,19.680100660777917
sample_000071,samples/sample_000071.npz,train,44,54,36,52,6,11,0.09383680137138048,-32.22532017950114,339.89074830040596
sample_000072,samples/sample_000072.npz,train,24,39,42,54,10,17,0.0881741999765657,-16.58795556950368,202.0899109821844
sample_000073,samples/sample_000073.npz,train,40,46,8,15,7,13,0.09515607130908364,-8.93469052361483,129.73412314587168
sample_000074,samples/sample_000074.npz,train,16,26,36,49,15,21,0.012594833686685517,-0.6787080383577346,9.464415864556251
sample_000075,samples/sample_000075.npz,train,17,28,32,40,13,17,0.06302146263710481,-2.598723062283854,35.40776712490263
sample_000076,samples/sample_000076.npz,train,39,48,39,46,13,17,0.018781896552766637,-0.5636369152554137,7.915901219083233
sample_000077,samples/sample_000077.npz,train,14,28,37,42,15,21,0.04468300729903539,-1.355422016391221,18.706265565003708
sample_000078,samples/sample_000078.npz,train,25,36,36,46,8,11,0.01726709072424426,-2.1177307941844656,24.862681839780436
sample_000079,samples/sample_000079.npz,train,11,19,8,12,3,6,0.09551360811434684,-24.92464989435414,266.84157859744744
sample_000080,samples/sample_000080.npz,train,32,45,33,41,3,8,0.03549328626557968,-27.020662608506143,220.01825206649204
sample_000081,samples/sample_000081.npz,train,33,41,12,27,2,5,0.04734727494408724,-43.06446395437395,292.0809881701107
sample_000082,samples/sample_000082.npz,train,22,26,25,31,16,19,0.03706758998027083,-0.20949755401911752,3.1055253626521377
sample_000083,samples/sample_000083.npz,train,9,21,29,39,5,11,0.003978173058496006,-1.6947516180221076,17.97850882926746
sample_000084,samples/sample_000084.npz,train,40,49,39,47,13,15,0.060064655391012585,-1.2197939021925968,16.740462826266597
sample_000085,samples/sample_000085.npz,train,11,15,35,43,8,14,0.09942259567239027,-5.460544823233607,80.97436491436581
sample_000086,samples/sample_000086.npz,train,41,45,10,17,7,14,0.09327641666141376,-6.155588453103085,94.58409844503392
sample_000087,samples/sample_000087.npz,train,14,30,25,34,2,4,0.07869464616159516,-84.19188703240225,365.61420110463905
sample_000088,samples/sample_000088.npz,train,11,27,19,35,2,7,0.08416409043866102,-156.54393437893333,750.3832298477355
sample_000089,samples/sample_000089.npz,train,25,40,10,17,5,7,0.016726535746058483,-3.9146913280970552,32.346246940579654
sample_000090,samples/sample_000090.npz,train,31,35,39,44,13,15,0.018004041656741344,-0.10559859020523504,1.552411362251612
sample_000091,samples/sample_000091.npz,train,31,37,40,54,15,20,0.015113847505608603,-0.47052078909598827,6.669923780583919
sample_000092,samples/sample_000092.npz,train,14,30,25,30,16,24,0.019907332661209972,-0.6878474411027674,9.531792792612121
sample_000093,samples/sample_000093.npz,train,46,51,39,47,3,5,0.06921188058387874,-16.34942199718801,178.00497303302018
sample_000094,samples/sample_000094.npz,train,18,28,35,43,6,11,0.0038471564893353045,-0.8211074441259377,9.906668816038957
sample_000095,samples/sample_000095.npz,train,26,32,42,53,5,10,0.029929045353730366,-6.877579967697088,85.44437636995278
sample_000096,samples/sample_000096.npz,train,45,54,30,44,6,13,0.014272558574265737,-4.6325749799986315,55.303690645131496
sample_000097,samples/sample_000097.npz,train,17,22,27,38,13,16,0.02347597758577545,-0.4887445066365902,6.911975763381558
sample_000098,samples/sample_000098.npz,train,16,30,31,41,13,20,0.04783466083251038,-4.202008786045939,56.20770263406971
sample_000099,samples/sample_000099.npz,train,13,17,17,21,8,11,0.07888827471513775,-1.6233320315100195,23.762372912403308
sample_000100,samples/sample_000100.npz,train,13,17,29,42,3,8,0.08350070398917124,-29.675159151987998,331.63139137460234
sample_000101,samples/sample_000101.npz,train,13,21,43,56,8,11,0.035206327981320666,-3.900176324260234,47.33408719964706
sample_000102,samples/sample_000102.npz,train,37,47,16,27,6,11,0.04683295057673322,-12.728526775578812,146.71694347890153
sample_000103,samples/sample_000103.npz,train,39,53,23,30,10,14,0.09963912355036421,-8.294652701793868,101.49092446215437
sample_000104,samples/sample_000104.npz,train,23,33,36,50,3,6,0.012161011842861787,-8.34467739793282,60.96000652146727
sample_000105,samples/sample_000105.npz,train,18,31,29,42,5,8,0.018801692024191023,-7.544101684613285,63.452463139675004
sample_000106,samples/sample_000106.npz,train,29,40,25,32,14,16,0.05144281375718855,-0.9283235594572384,12.567012665791244
sample_000107,samples/sample_000107.npz,train,46,53,41,55,13,16,0.008648639583724544,-0.3072204221806303,4.15285685559547
sample_000108,samples/sample_000108.npz,train,31,47,43,55,10,12,0.06181989482936256,-5.6374940176849035,60.225133194896934
sample_000109,samples/sample_000109.npz,train,28,38,27,34,6,11,0.04269604646193825,-8.13264631838997,100.32676374789663
sample_000110,samples/sample_000110.npz,train,15,22,25,31,2,7,0.033619839439775534,-20.062110339902986,218.56510802629518
sample_000111,samples/sample_000111.npz,train,33,37,23,31,8,16,0.06952599445747863,-4.15795647285192,64.2949223414506
sample_000112,samples/sample_000112.npz,train,9,22,25,30,15,20,0.04614570345330772,-1.1681302984463988,16.169011429037702
sample_000113,samples/sample_000113.npz,train,45,55,20,30,9,13,0.04967731645581743,-5.193574032706528,66.22709624509243
sample_000114,samples/sample_000114.npz,train,41,56,27,43,15,17,0.05946965415207522,-2.508233260117385,30.760485925299633
sample_000115,samples/sample_000115.npz,train,40,52,40,54,7,9,0.06732631851826766,-11.083435815198154,109.55636976104319
sample_000116,samples/sample_000116.npz,train,44,49,22,35,13,19,0.03671923423431921,-1.3814251514074622,19.808992660953155
sample_000117,samples/sample_000117.npz,train,9,13,14,23,3,11,0.01310415481699308,-3.8712748945333146,55.730606733736636
sample_000118,samples/sample_000118.npz,train,27,43,50,56,9,17,0.021128061161474875,-2.917515289124738,36.390874023204674
sample_000119,samples/sample_000119.npz,train,11,17,27,37,7,15,0.03873849687536053,-5.3214544996192465,77.26760900911606
sample_000120,samples/sample_000120.npz,train,44,49,17,31,3,5,0.08803615884176157,-26.676946667762103,246.92387381695661
sample_000121,samples/sample_000121.npz,train,39,45,46,55,3,6,0.07316767138469867,-26.571960634675886,276.4135068970606
sample_000122,samples/sample_000122.npz,train,41,47,29,42,14,22,0.09977545896878005,-4.408119531474649,64.69867240403237
sample_000123,samples/sample_000123.npz,train,20,33,14,29,5,9,0.032947939198642216,-16.508690159032433,140.55308083385398
sample_000124,samples/sample_000124.npz,train,45,55,35,46,2,10,0.07170157345590626,-83.15151415226732,739.2474128813278
sample_000125,samples/sample_000125.npz,train,13,19,17,33,15,21,0.030340385758644593,-1.181798369867203,16.669397846459184
sample_000126,samples/sample_000126.npz,train,24,32,44,50,13,15,0.010020475979175464,-0.1386622323639187,1.9527325484096012
sample_000127,samples/sample_000127.npz,train,24,31,48,52,5,13,0.07443496831852808,-9.185174039838692,141.49250844368584
sample_000128,samples/sample_000128.npz,train,29,35,39,55,4,11,0.028112955178263874,-11.981269933119455,135.1799969759437
sample_000129,samples/sample_000129.npz,train,11,20,21,34,13,15,0.0873335819279293,-2.7128454491853966,35.807815028097394
sample_000130,samples/sample_000130.npz,train,23,31,11,23,9,16,0.0404952125930964,-5.180535000831216,71.11567266188095
sample_000131,samples/sample_000131.npz,train,18,22,26,35,6,14,0.0026995505570905427,-0.29717322526957124,4.516647789837056
sample_000132,samples/sample_000132.npz,train,43,53,39,54,15,17,0.0896912392567321,-2.4462590126466077,32.349176961459435
sample_000133,samples/sample_000133.npz,train,34,42,22,33,10,18,0.07455891916293456,-7.572672343181235,108.23143418341114
sample_000134,samples/sample_000134.npz,train,18,33,40,52,15,21,0.010231404490166181,-0.7576214097914084,9.998776223778274
sample_000135,samples/sample_000135.npz,train,23,28,38,52,7,11,0.0023377006781750706,-0.26694075764324826,3.3591520592791184
sample_000136,samples/sample_000136.npz,train,11,16,48,56,2,6,0.07224045211032706,-37.50658844347825,407.18609900606634
sample_000137,samples/sample_000137.npz,train,16,25,19,30,15,19,0.05953324161895106,-1.9225173299289913,26.893609191117353
sample_000138,samples/sample_000138.npz,train,24,36,24,35,5,9,0.018271215418501335,-7.174505161902956,69.01744355788705
sample_000139,samples/sample_000139.npz,train,39,50,25,37,14,16,0.09551419858640864,-2.8081234134568085,36.90941537011309
sample_000140,samples/sample_000140.npz,train,19,25,26,42,15,17,0.0482545506265616,-0.8414312464407752,11.454544844291231
sample_000141,samples/sample_000141.npz,train,12,17,30,38,6,13,0.06188598550450865,-7.520984838924537,111.35531455441273
sample_000142,samples/sample_000142.npz,train,34,47,20,35,5,8,0.04018940819216146,-17.270648434062927,140.19592593379272
sample_000143,samples/sample_000143.npz,train,28,40,17,31,15,22,0.02954760978485678,-2.2084552745479726,30.240243006577842
sample_000144,samples/sample_000144.npz,train,17,21,37,47,13,21,0.04018470044569811,-1.1019497821756465,16.70659601920415
sample_000145,samples/sample_000145.npz,train,25,35,10,25,12,20,0.08987237055301746,-10.203882668129761,139.38309156867257
sample_000146,samples/sample_000146.npz,train,8,19,35,48,7,10,0.05871658816075143,-11.295396634992109,120.90270157362409
sample_000147,samples/sample_000147.npz,train,16,29,27,40,9,11,0.07182847375420151,-7.272913691348283,79.12479255428214
sample_000148,samples/sample_000148.npz,train,50,54,26,35,11,17,0.08293508098645794,-2.610734468130215,38.740801760652715
sample_000149,samples/sample_000149.npz,train,25,40,18,25,2,4,0.0721333302971275,-65.49781957410009,323.33346005743124
sample_000150,samples/sample_000150.npz,train,31,40,22,30,9,12,0.03853957001764589,-2.5263906825789193,32.971056499478
sample_000151,samples/sample_000151.npz,train,10,14,26,34,9,12,0.013105586090533021,-0.39201977655173914,5.556678981033587
sample_000152,samples/sample_000152.npz,train,10,23,21,31,8,14,0.06463253637069978,-13.253116867369732,158.8288482652929
sample_000153,samples/sample_000153.npz,train,47,54,45,56,4,12,0.07953112686412554,-31.936427138340086,407.17570505133057
sample_000154,samples/sample_000154.npz,train,8,20,39,49,13,15,0.01956882664950406,-0.6400985130200636,8.286453954607461
sample_000155,samples/sample_000155.npz,train,31,37,39,49,14,18,0.01868940206385329,-0.43911281681471276,6.316230770782315
sample_000156,samples/sample_000156.npz,train,18,23,34,49,3,8,0.05664184210681051,-26.293963751970423,272.8717688368229
sample_000157,samples/sample_000157.npz,train,19,24,45,54,10,15,0.05204001081431182,-2.2957359900603747,33.137859939244514
sample_000158,samples/sample_000158.npz,train,38,48,20,30,3,5,0.013177869168902394,-6.389788959601148,47.52689505084037
sample_000159,samples/sample_000159.npz,train,36,52,36,41,8,14,0.015912580498164366,-2.1128846742854637,24.462314595579027
sample_000160,samples/sample_000160.npz,train,46,55,9,20,11,19,0.06997025021689449,-6.590098972645677,93.50616370702471
sample_000161,samples/sample_000161.npz,train,38,52,17,21,16,24,0.08061228537424045,-1.9676367851746983,27.98694954862751
sample_000162,samples/sample_000162.npz,train,39,48,9,14,13,20,0.05114161572106109,-1.5238479562643625,22.378029854466558
sample_000163,samples/sample_000163.npz,train,44,54,34,48,4,6,0.052389995959196585,-19.093285222274954,153.28733743285014
sample_000164,samples/sample_000164.npz,train,21,30,31,43,3,5,0.0746645197146162,-35.60585942063221,268.80459437919944
sample_000165,samples/sample_000165.npz,train,22,34,16,27,12,20,0.07686108712414204,-7.985443382892204,109.77814851368255
sample_000166,samples/sample_000166.npz,train,9,14,22,32,7,12,0.09045664030867014,-9.013363898471175,124.20317790197244
sample_000167,samples/sample_000167.npz,train,42,47,39,50,16,23,0.028541454082509035,-0.6286014048134841,9.335980129144591
sample_000168,samples/sample_000168.npz,train,25,35,33,44,16,21,0.020060574795421133,-0.7153323479662376,10.071071295018566
sample_000169,samples/sample_000169.npz,train,25,34,13,26,3,8,0.059988321863381405,-43.97067111870615,392.55426522674753
sample_000170,samples/sample_000170.npz,train,50,55,11,21,15,19,0.08704351989210335,-1.4448951926859726,20.97077559970509
sample_000171,samples/sample_000171.npz,train,41,50,14,18,6,8,0.056543513943086786,-3.691997001119863,44.49772156818296
sample_000172,samples/sample_000172.npz,train,40,49,35,43,12,14,0.0330775030238417,-0.8197777264825226,11.1148043882089
sample_000173,samples/sample_000173.npz,train,25,35,24,30,4,11,0.08353414399861903,-28.9274488352447,353.3041135616806
sample_000174,samples/sample_000174.npz,train,32,40,37,51,7,12,0.06020187561729567,-11.986516723509572,145.29180644877854
sample_000175,samples/sample_000175.npz,train,29,40,36,49,6,12,0.07904965897788606,-27.996792772656203,310.3854599463773
sample_000176,samples/sample_000176.npz,train,16,32,31,38,9,13,0.057042261769904734,-6.71670143962405,75.4763461563785
sample_000177,samples/sample_000177.npz,train,21,33,35,41,9,15,0.02643727726115589,-2.541512341022311,33.438271953275994
sample_000178,samples/sample_000178.npz,train,21,32,39,55,11,14,0.07453824330264515,-6.5932542214408905,79.42788634163583
sample_000179,samples/sample_000179.npz,train,13,29,26,31,11,14,0.003174796865722993,-0.1451685536663276,1.7270131590214448
sample_000180,samples/sample_000180.npz,train,28,35,26,32,7,13,0.029167372149034566,-2.770819208321669,39.725004575832116
sample_000181,samples/sample_000181.npz,train,27,38,34,42,7,14,0.07011344592082297,-13.756280682099675,177.15917880059914
sample_000182,samples/sample_000182.npz,train,23,38,28,36,9,15,0.08096693524445041,-12.425596424279597,149.13214943005505
sample_000183,samples/sample_000183.npz,train,21,34,39,50,16,22,0.04172891867865551,-2.1498692097740646,29.588433662112735
sample_000184,samples/sample_000184.npz,train,15,22,44,48,11,16,0.07262842262634846,-1.6807745065784911,24.631330174357384
sample_000185,samples/sample_000185.npz,train,25,33,35,40,9,17,0.08011743939470316,-4.852531846271523,73.05082406076559
sample_000186,samples/sample_000186.npz,train,19,23,28,32,5,13,0.06341916728948854,-4.553676274429678,76.08863708286768
sample_000187,samples/sample_000187.npz,train,40,45,8,24,15,17,0.0627386172810955,-0.9139380427418244,12.495968991568473
sample_000188,samples/sample_000188.npz,train,45,54,45,51,8,13,0.033913363332360454,-2.935383872808595,39.680141125315295
sample_000189,samples/sample_000189.npz,train,30,35,11,23,5,8,0.013781666572338744,-2.2490266834000954,26.475601178632502
sample_000190,samples/sample_000190.npz,train,30,35,18,31,2,7,0.01388116512622748,-9.343065387045291,92.17358418746076
sample_000191,samples/sample_000191.npz,train,43,55,29,35,15,17,0.040125485980912125,-0.5686921335931393,7.735540942068885
sample_000192,samples/sample_000192.npz,train,34,48,9,18,8,13,0.09397725403693405,-17.457078518850107,200.82404471880238
sample_000193,samples/sample_000193.npz,train,11,21,33,37,15,22,0.08129113240418238,-1.5559009141059839,22.84130240679251
sample_000194,samples/sample_000194.npz,train,33,46,40,47,7,15,0.08122862779056839,-16.998888212614588,215.1927250730643
sample_000195,samples/sample_000195.npz,train,28,44,9,17,9,12,0.03648331705423987,-4.048651808614529,43.972517791462536
sample_000196,samples/sample_000196.npz,train,20,26,10,21,3,11,0.05683181501862807,-28.11808664190527,348.05346390548186
sample_000197,samples/sample_000197.npz,train,32,42,10,15,3,5,0.0873299497152509,-27.119387232133075,234.14416284027814
sample_000198,samples/sample_000198.npz,train,26,37,32,47,5,9,0.0965725393544817,-41.921078217692,387.8685412957323
sample_000199,samples/sample_000199.npz,train,19,31,36,51,5,10,0.0703410618015294,-36.26487749392551,336.43399055440364
sample_000200,samples/sample_000200.npz,train,8,20,45,56,12,18,0.010213940561778798,-0.9295711734450851,12.399004724490432
sample_000201,samples/sample_000201.npz,train,35,46,44,48,15,21,0.07353361802653675,-1.420303259856206,20.400043783250503
sample_000202,samples/sample_000202.npz,train,17,33,33,45,12,16,0.046324900433228906,-4.669093944309525,55.63741602412779
sample_000203,samples/sample_000203.npz,train,25,37,23,36,7,15,0.0915119215695944,-29.6676091248804,355.0194475516988
sample_000204,samples/sample_000204.npz,train,39,45,21,37,15,21,0.05117736993393807,-1.9934266117433705,28.11750474203422
sample_000205,samples/sample_000205.npz,train,35,42,40,49,13,21,0.012517343375315671,-0.5421720599862823,8.076724775269392
sample_000206,samples/sample_000206.npz,train,24,36,12,20,7,10,0.07761044540846966,-11.295245907867244,125.89957314368642
sample_000207,samples/sample_000207.npz,train,37,45,33,49,5,9,0.03805348911093804,-12.87658267175615,130.96492422092558
sample_000208,samples/sample_000208.npz,train,37,52,42,53,10,12,0.06972345950582617,-5.617793308104528,61.9465311490235
sample_000209,samples/sample_000209.npz,train,12,19,17,32,5,11,0.057763135262936284,-19.570755923035676,224.73457621174663
sample_000210,samples/sample_000210.npz,train,18,28,21,31,5,11,0.09284500679222875,-33.69806068060517,385.75756711758083
sample_000211,samples/sample_000211.npz,train,34,42,19,29,10,12,0.02493046023886292,-1.0381310445430514,13.628647893569516
sample_000212,samples/sample_000212.npz,train,29,36,40,56,10,18,0.09802637624515294,-11.839439064903381,161.21719714923196
sample_000213,samples/sample_000213.npz,train,27,41,13,28,15,19,0.06590395880223911,-4.257404219086094,54.591667538333674
sample_000214,samples/sample_000214.npz,train,41,52,15,28,6,8,0.043567900132965305,-8.503054348316477,81.9595507575545
sample_000215,samples/sample_000215.npz,train,50,54,38,44,4,6,0.06431833284544539,-6.281134904762884,80.90345428691015
sample_000216,samples/sample_000216.npz,train,21,31,36,47,16,23,0.021064255261900353,-0.9191304780093359,13.183530977815643
sample_000217,samples/sample_000217.npz,train,37,41,29,36,15,20,0.08026581179499384,-0.8852190506390062,13.24520805185544
sample_000218,samples/sample_000218.npz,train,24,34,27,43,3,8,0.05213493524285301,-45.41261149322392,360.1439735609756
sample_000219,samples/sample_000219.npz,train,27,40,33,41,8,10,0.08239133213278135,-7.395172223569576,81.394562131025
sample_000220,samples/sample_000220.npz,train,8,23,45,56,12,16,0.06563748813466015,-5.798646222337698,70.96963786885178
sample_000221,samples/sample_000221.npz,train,13,19,33,43,3,5,0.010353820212084083,-3.2333755845742975,30.847384298730827
sample_000222,samples/sample_000222.npz,train,39,55,19,30,12,17,0.0805421611861719,-8.666511562335865,105.84711353285546
sample_000223,samples/sample_000223.npz,train,44,52,39,50,10,13,0.006679974899147651,-0.4051972014957151,5.331124038747142
sample_000224,samples/sample_000224.npz,train,30,39,18,26,14,16,0.04323122634141392,-0.7280755791015945,10.0915133928304
sample_000225,samples/sample_000225.npz,train,42,49,22,38,6,9,0.03749356474752181,-7.142477307128448,77.20940107532768
sample_000226,samples/sample_000226.npz,train,10,15,46,54,2,8,0.04241518000438174,-22.59809313866222,276.74093640152387
sample_000227,samples/sample_000227.npz,train,35,46,15,29,7,10,0.09647030890638283,-19.443027402438776,205.07397708030797
sample_000228,samples/sample_000228.npz,train,26,42,24,37,5,8,0.029616949481475537,-14.114261447598558,104.3674737134751
sample_000229,samples/sample_000229.npz,train,20,28,52,56,7,12,0.06434494925910926,-4.45479845059715,62.00076648884798
sample_000230,samples/sample_000230.npz,train,28,39,43,48,12,20,0.09867155063627303,-4.49919415751137,64.92621784904972
sample_000231,samples/sample_000231.npz,train,10,17,10,23,11,19,0.039536775489148246,-3.363792047219345,48.02061161855322
sample_000232,samples/sample_000232.npz,train,45,51,27,43,2,10,0.07626261752140927,-66.99749557415254,664.67015162187
sample_000233,samples/sample_000233.npz,train,34,47,24,35,14,17,0.022067168799327224,-0.9729239878698653,12.654826189560271
sample_000234,samples/sample_000234.npz,train,35,46,20,24,15,21,0.01624381154963797,-0.3137495428511886,4.5064350635842905
sample_000235,samples/sample_000235.npz,train,11,23,32,47,6,13,0.06907194248439155,-30.3285388064589,325.49087533407226
sample_000236,samples/sample_000236.npz,train,9,21,38,47,6,14,0.09629121283541353,-30.140734357261305,369.5796828999709
